,kyon_nums,eaten_kyons,dead_kyons,born_kyons,eaten_grasses,increase
0,150,0,0,0,147,0
1,150,0,0,0,118,0
2,150,0,0,0,146,0
3,148,1,1,0,120,-2
4,148,0,0,0,93,0
5,148,1,0,1,136,0
6,148,0,0,0,144,0
7,148,0,0,0,119,0
8,147,0,1,0,95,-1
9,147,0,0,0,119,0
10,147,0,0,0,121,0
11,147,0,0,0,142,0
12,147,1,0,1,120,0
13,148,0,0,1,92,1
14,148,0,0,0,104,0
15,148,0,0,0,116,0
16,148,0,0,0,121,0
17,148,0,0,0,142,0
18,148,0,0,0,112,0
19,148,0,0,0,128,0
20,147,0,1,0,101,-1
21,147,0,0,0,110,0
22,147,0,0,0,141,0
23,147,0,0,0,114,0
24,147,0,0,0,140,0
25,148,0,0,1,124,1
26,148,0,0,0,93,0
27,148,0,0,0,101,0
28,148,0,0,0,139,0
29,148,0,0,0,119,0
30,149,0,0,1,96,1
31,149,0,0,0,145,0
32,150,0,0,1,113,1
33,150,0,0,0,127,0
34,151,0,0,1,95,1
35,151,0,0,0,98,0
36,150,1,0,0,123,-1
37,151,0,0,1,144,1
38,151,0,1,1,123,0
39,152,0,0,1,99,1
40,152,0,0,0,145,0
41,152,0,0,0,121,0
42,152,0,0,0,126,0
43,152,0,0,0,130,0
44,152,0,0,0,94,0
45,152,0,0,0,150,0
46,152,0,0,0,113,0
47,152,0,0,0,104,0
48,152,0,0,0,97,0
49,152,0,0,0,129,0
50,151,0,1,0,145,-1
51,151,0,0,0,119,0
52,151,0,1,1,144,0
53,151,0,0,0,121,0
54,152,0,0,1,119,1
55,153,0,0,1,99,1
56,152,0,1,0,145,-1
57,152,0,0,0,115,0
58,152,1,0,1,147,0
59,151,1,0,0,109,-1
60,150,0,1,0,100,-1
61,148,0,2,0,123,-2
62,149,0,0,1,117,1
63,150,0,0,1,143,1
64,150,0,0,0,121,0
65,151,0,0,1,146,1
66,151,0,0,0,115,0
67,151,0,0,0,92,0
68,151,0,0,0,128,0
69,151,0,0,0,124,0
70,150,0,1,0,129,-1
71,150,0,0,0,144,0
72,150,0,0,0,113,0
73,150,0,0,0,96,0
74,151,0,0,1,106,1
75,150,0,1,0,124,-1
76,149,0,1,0,125,-1
77,149,0,0,0,117,0
78,150,0,0,1,125,1
79,150,0,0,0,118,0
80,150,0,1,1,123,0
81,151,0,0,1,118,1
82,151,0,0,0,145,0
83,151,0,0,0,109,0
84,152,0,0,1,102,1
85,151,0,1,0,147,-1
86,152,0,0,1,121,1
87,153,0,0,1,127,1
88,153,0,0,0,120,0
89,153,0,0,0,128,0
90,153,0,0,0,99,0
91,153,0,0,0,144,0
92,154,0,0,1,118,1
93,154,0,0,0,151,0
94,155,0,0,1,119,1
95,155,0,0,0,125,0
96,155,0,0,0,110,0
97,156,0,0,1,118,1
98,156,0,0,0,150,0
99,156,0,0,0,119,0
100,156,0,0,0,102,0
101,155,1,0,0,125,-1
102,156,0,0,1,124,1
103,156,0,0,0,150,0
104,155,0,1,0,115,-1
105,155,0,1,1,97,0
106,154,1,0,0,110,-1
107,155,0,0,1,141,1
108,155,0,0,0,123,0
109,155,1,0,1,130,0
110,155,0,0,0,99,0
111,155,0,0,0,99,0
112,154,0,1,0,138,-1
113,153,1,0,0,118,-1
114,154,0,0,1,143,1
115,155,0,0,1,130,1
116,155,0,0,0,98,0
117,155,0,0,0,130,0
118,155,1,0,1,116,0
119,155,0,0,0,127,0
120,155,0,0,0,127,0
121,156,0,0,1,149,1
122,153,1,2,0,111,-3
123,153,0,0,0,105,0
124,154,0,0,1,127,1
125,155,0,0,1,130,1
126,155,0,0,0,113,0
127,156,0,1,2,146,1
128,158,0,0,2,115,2
129,158,0,0,0,104,0
130,158,0,0,0,146,0
131,159,0,0,1,119,1
132,159,0,0,0,93,0
133,158,1,0,0,149,-1
134,158,0,0,0,126,0
135,159,0,0,1,99,1
136,159,0,0,0,150,0
137,158,0,1,0,123,-1
138,158,0,0,0,130,0
139,158,0,0,0,112,0
140,158,0,0,0,105,0
141,158,0,0,0,148,0
142,158,0,0,0,122,0
143,159,0,0,1,148,1
144,159,0,0,0,127,0
145,159,0,0,0,95,0
146,160,0,0,1,145,1
147,160,0,0,0,116,0
148,160,0,0,0,99,0
149,161,1,0,2,132,1
150,161,0,0,0,128,0
151,160,0,1,0,151,-1
152,161,0,0,1,129,1
153,161,0,0,0,106,0
154,160,1,0,0,150,-1
155,160,0,0,0,133,0
156,160,0,0,0,100,0
157,161,0,0,1,108,1
158,161,0,0,0,136,0
159,160,0,1,0,127,-1
160,159,1,1,1,151,-1
161,159,0,1,1,131,0
162,160,0,0,1,137,1
163,160,0,0,0,130,0
164,160,0,0,0,125,0
165,159,1,0,0,130,-1
166,159,0,0,0,107,0
167,159,0,0,0,151,0
168,160,0,0,1,130,1
169,160,0,0,0,93,0
170,160,0,0,0,143,0
171,162,0,0,2,150,2
172,162,0,1,1,124,0
173,164,0,0,2,110,2
174,164,0,0,0,113,0
175,165,0,0,1,138,1
176,165,0,0,0,157,0
177,165,0,0,0,116,0
178,165,0,0,0,111,0
179,164,0,1,0,121,-1
180,165,0,1,2,152,1
181,164,0,1,0,126,-1
182,164,0,0,0,127,0
183,164,0,0,0,108,0
184,165,0,0,1,121,1
185,165,0,0,0,161,0
186,165,0,0,0,122,0
187,165,0,0,0,157,0
188,165,0,0,0,117,0
189,165,0,0,0,153,0
190,165,0,0,0,131,0
191,165,0,0,0,141,0
192,165,0,0,0,112,0
193,165,0,0,0,121,0
194,165,0,0,0,141,0
195,165,0,0,0,131,0
196,165,0,0,0,131,0
197,165,0,0,0,131,0
198,165,0,0,0,130,0
199,164,1,0,0,156,-1
200,163,0,1,0,124,-1
201,163,0,0,0,131,0
202,163,1,0,1,116,0
203,163,0,0,0,95,0
204,163,0,0,0,133,0
