,kyon_nums,eaten_kyons,dead_kyons,born_kyons,eaten_grasses,increase
0,150,0,1,1,145,0
1,150,1,0,1,111,0
2,152,0,0,2,102,2
3,151,1,0,0,110,-1
4,151,0,0,0,146,0
5,149,2,0,0,118,-2
6,151,0,0,2,101,2
7,151,0,0,0,103,0
8,151,1,0,1,144,0
9,149,2,0,0,112,-2
10,149,1,0,1,144,0
11,149,1,0,1,107,0
12,149,0,0,0,96,0
13,149,0,0,0,99,0
14,147,2,0,0,124,-2
15,147,0,0,0,140,0
16,145,1,1,0,114,-2
17,144,1,0,0,93,-1
18,143,0,1,0,135,-1
19,143,0,0,0,111,0
20,142,1,0,0,106,-1
21,143,0,0,1,104,1
22,143,0,0,0,135,0
23,144,0,0,1,107,1
24,145,0,0,1,97,1
25,144,1,0,0,103,-1
26,142,1,1,0,111,-2
27,140,2,0,0,135,-2
28,139,1,0,0,104,-1
29,137,2,0,0,110,-2
30,136,0,1,0,96,-1
31,135,1,0,0,92,-1
32,133,2,0,0,112,-2
33,133,0,0,0,125,0
34,132,1,1,1,103,-1
35,133,0,0,1,107,1
36,133,0,0,0,104,0
37,133,1,0,1,81,0
38,133,0,0,0,127,0
39,133,0,0,0,103,0
40,133,1,0,1,83,0
41,133,0,0,0,128,0
42,136,0,0,3,103,3
43,136,0,0,0,91,0
44,136,0,0,0,111,0
45,135,0,1,0,133,-1
46,135,0,0,0,100,0
47,135,0,0,0,127,0
48,135,0,0,0,115,0
49,134,1,0,0,86,-1
50,133,0,1,0,130,-1
51,134,0,0,1,99,1
52,134,0,0,0,108,0
53,135,1,0,2,90,1
54,135,0,0,0,90,0
55,135,1,0,1,109,0
56,134,1,0,0,111,-1
57,134,0,0,0,124,0
58,135,0,0,1,103,1
59,135,0,0,0,88,0
60,135,0,0,0,116,0
61,136,0,0,1,114,1
62,136,0,0,0,132,0
63,135,0,1,0,111,-1
64,134,1,0,0,92,-1
65,134,0,0,0,130,0
66,134,0,0,0,109,0
67,134,0,0,0,118,0
68,133,1,1,1,92,-1
69,132,1,0,0,128,-1
70,132,0,0,0,105,0
71,130,2,0,0,103,-2
72,129,0,1,0,95,-1
73,126,3,0,0,87,-3
74,126,0,0,0,121,0
75,126,0,0,0,103,0
76,126,0,0,0,108,0
77,126,0,0,0,103,0
78,125,1,0,0,83,-1
79,123,2,0,0,116,-2
80,123,0,0,0,93,0
81,123,0,0,0,110,0
82,123,0,0,0,104,0
83,123,0,0,0,102,0
84,123,0,0,0,105,0
85,122,1,0,0,99,-1
86,123,0,0,1,120,1
87,123,0,0,0,102,0
88,123,0,0,0,109,0
89,124,0,1,2,81,1
90,124,0,0,0,122,0
91,124,0,0,0,97,0
92,124,0,0,0,119,0
93,124,0,0,0,97,0
94,125,0,0,1,122,1
95,125,0,0,0,101,0
96,124,1,0,0,78,-1
97,124,0,0,0,77,0
98,124,0,0,0,122,0
99,120,4,0,0,96,-4
100,121,0,0,1,117,1
101,120,1,0,0,94,-1
102,121,0,0,1,86,1
103,120,0,1,0,119,-1
104,119,1,0,0,92,-1
105,120,1,0,2,89,1
106,119,0,1,0,117,-1
107,119,0,0,0,99,0
108,119,0,1,1,97,0
109,119,0,0,0,98,0
110,119,0,0,0,98,0
111,119,0,0,0,90,0
112,119,0,0,0,102,0
113,118,1,0,0,77,-1
114,117,1,0,0,78,-1
115,118,0,0,1,113,1
116,118,0,0,0,96,0
117,117,1,0,0,115,-1
118,118,0,0,1,82,1
119,117,1,0,0,82,-1
120,115,2,0,0,97,-2
121,114,1,0,0,110,-1
122,114,0,0,0,87,0
123,114,0,0,0,80,0
124,114,0,0,0,98,0
125,113,1,0,0,86,-1
126,113,0,1,1,91,0
127,113,0,0,0,110,0
128,112,0,1,0,85,-1
129,112,0,0,0,105,0
130,109,2,1,0,89,-3
131,108,0,1,0,105,-1
132,108,0,0,0,89,0
133,107,1,0,0,72,-1
134,108,0,0,1,102,1
135,108,0,0,0,82,0
136,107,1,0,0,92,-1
137,106,1,0,0,92,-1
138,105,2,0,1,88,-1
139,104,1,0,0,89,-1
140,104,0,0,0,90,0
141,104,0,0,0,76,0
142,104,0,0,0,103,0
143,103,1,0,0,81,-1
144,101,2,0,0,68,-2
145,100,1,0,0,81,-1
146,100,0,0,0,79,0
147,98,1,1,0,90,-2
148,97,1,0,0,92,-1
149,97,0,0,0,83,0
150,96,1,0,0,59,-1
151,96,0,0,0,73,0
152,96,0,0,0,83,0
153,96,0,0,0,85,0
154,96,0,0,0,94,0
155,98,0,0,2,87,2
156,97,0,1,0,75,-1
157,96,1,0,0,82,-1
158,96,0,0,0,79,0
159,94,2,0,0,77,-2
160,92,2,0,0,67,-2
161,92,1,0,1,87,0
162,91,1,0,0,76,-1
163,91,0,0,0,66,0
164,91,0,0,0,87,0
165,91,0,0,0,80,0
166,91,0,0,0,90,0
167,91,0,0,0,80,0
168,90,1,0,0,68,-1
169,90,0,0,0,86,0
170,90,0,0,0,77,0
171,91,0,0,1,64,1
172,93,0,0,2,66,2
173,94,0,0,1,84,1
174,92,0,2,0,77,-2
