,kyon_nums,eaten_kyons,dead_kyons,born_kyons,eaten_grasses,increase
0,249,1,1,1,113,-1
1,250,1,0,2,231,1
2,248,3,0,1,159,-2
3,245,2,1,0,138,-3
4,245,0,0,0,226,0
5,243,1,1,0,170,-2
6,242,1,0,0,124,-1
7,239,3,0,0,198,-3
8,238,1,0,0,171,-1
9,238,0,0,0,218,0
10,238,1,1,2,177,0
11,236,2,0,0,142,-2
12,234,1,1,0,149,-2
13,235,0,0,1,216,1
14,235,0,0,0,171,0
15,235,1,0,1,220,0
16,235,0,0,0,175,0
17,236,0,1,2,137,1
18,237,0,0,1,146,1
19,237,3,0,3,192,0
20,239,0,0,2,220,2
21,239,0,0,0,175,0
22,237,2,0,0,226,-2
23,235,2,0,0,175,-2
24,235,1,0,1,187,0
25,233,2,0,0,139,-2
26,232,1,0,0,219,-1
27,232,0,0,0,164,0
28,233,0,0,1,181,1
29,231,2,0,0,143,-2
30,232,0,0,1,143,1
31,230,2,0,0,196,-2
32,230,0,0,0,221,0
33,229,1,0,0,162,-1
34,229,1,0,1,219,0
35,227,1,1,0,154,-2
36,226,1,0,0,126,-1
37,224,2,0,0,210,-2
38,223,1,1,1,160,-1
39,225,0,0,2,209,2
40,225,0,0,0,165,0
41,222,2,1,0,183,-3
42,221,0,1,0,168,-1
43,219,0,2,0,173,-2
44,219,1,0,1,170,0
45,217,1,1,0,165,-2
46,216,1,1,1,140,-1
47,215,1,0,0,137,-1
48,214,1,0,0,173,-1
49,213,1,0,0,197,-1
50,214,0,0,1,160,1
51,214,0,0,0,163,0
52,216,0,0,2,157,2
53,214,2,0,0,163,-2
54,215,0,0,1,134,1
55,215,0,0,0,206,0
56,215,0,0,0,158,0
57,216,0,0,1,122,1
58,215,1,0,0,166,-1
59,213,2,0,0,191,-2
60,212,1,0,0,157,-1
61,210,1,1,0,127,-2
62,211,1,0,2,201,1
63,210,1,0,0,151,-1
64,208,2,0,0,164,-2
65,207,1,1,1,119,-1
66,206,1,0,0,149,-1
67,202,4,0,0,191,-4
68,201,1,0,0,152,-1
69,201,0,1,1,129,0
70,201,0,0,0,191,0
71,201,0,0,0,154,0
72,202,0,0,1,119,1
73,201,1,0,0,146,-1
74,199,2,0,0,160,-2
75,199,0,0,0,187,0
76,199,0,0,0,141,0
77,200,1,1,3,113,1
78,193,7,0,0,158,-7
79,192,1,0,0,174,-1
80,192,0,0,0,149,0
81,191,1,0,0,151,-1
82,191,0,0,0,125,0
83,188,4,0,1,124,-3
84,186,2,0,0,170,-2
85,182,2,2,0,138,-4
86,182,0,0,0,153,0
87,181,1,0,0,145,-1
88,180,1,1,1,119,-1
89,181,0,0,1,169,1
90,179,1,1,0,138,-2
91,179,0,0,0,165,0
92,180,0,0,1,140,1
93,179,1,0,0,146,-1
94,179,0,0,0,108,0
95,178,1,1,1,124,-1
96,178,0,0,0,148,0
97,177,1,0,0,143,-1
98,177,0,0,0,171,0
99,177,0,0,0,142,0
100,177,1,0,1,101,0
101,177,0,0,0,169,0
102,176,1,0,0,132,-1
103,175,1,0,0,165,-1
104,176,0,0,1,133,1
105,175,0,1,0,135,-1
106,175,0,0,0,107,0
107,175,0,0,0,115,0
108,175,0,0,0,141,0
109,175,0,0,0,164,0
110,175,0,1,1,132,0
111,175,0,0,0,140,0
112,174,1,0,0,106,-1
113,175,0,0,1,121,1
114,171,3,1,0,155,-4
115,169,1,1,0,132,-2
116,169,0,0,0,107,0
117,165,4,0,0,111,-4
118,164,0,1,0,162,-1
119,164,1,0,1,132,0
120,165,0,0,1,101,1
121,164,1,0,0,153,-1
122,164,0,0,0,121,0
123,162,2,0,0,101,-2
124,161,0,1,0,154,-1
125,160,1,0,0,118,-1
126,159,1,0,0,154,-1
127,158,1,1,1,115,-1
128,160,0,0,2,127,2
129,159,1,1,1,129,-1
130,157,2,0,0,117,-2
131,157,0,0,0,134,0
132,157,0,0,0,103,0
133,156,0,1,0,109,-1
134,156,0,0,0,151,0
135,154,2,0,0,122,-2
136,155,0,0,1,98,1
137,155,0,0,0,129,0
138,153,2,0,0,146,-2
139,154,0,0,1,115,1
140,152,2,0,0,145,-2
141,151,0,1,0,122,-1
142,149,1,1,0,144,-2
143,149,0,0,0,113,0
144,149,1,0,1,103,0
145,148,1,0,0,110,-1
146,147,1,0,0,142,-1
147,144,2,1,0,116,-3
148,141,2,1,0,93,-3
149,142,0,0,1,137,1
150,143,1,0,2,104,1
151,141,1,1,0,92,-2
152,141,0,0,0,131,0
153,141,0,0,0,112,0
154,141,0,0,0,87,0
155,142,0,0,1,122,1
156,142,0,0,0,137,0
157,142,0,0,0,114,0
158,142,1,0,1,138,0
159,141,1,0,0,113,-1
160,141,0,0,0,119,0
161,141,0,0,0,106,0
162,139,2,0,0,86,-2
163,141,0,0,2,134,2
164,140,1,0,0,100,-1
165,139,1,0,0,121,-1
166,140,0,0,1,97,1
167,140,0,0,0,105,0
168,140,0,0,0,132,0
169,139,0,1,0,111,-1
170,138,1,0,0,131,-1
171,138,0,0,0,108,0
172,137,1,0,0,129,-1
173,138,0,0,1,109,1
174,138,2,0,2,83,0
175,137,1,0,0,128,-1
176,135,1,1,0,106,-2
177,134,2,0,1,130,-1
178,133,2,1,2,105,-1
179,132,1,0,0,85,-1
180,131,1,0,0,126,-1
181,132,0,0,1,109,1
182,128,1,3,0,79,-4
183,127,1,1,1,122,-1
184,126,1,0,0,107,-1
185,126,0,0,0,83,0
186,125,1,0,0,120,-1
187,125,0,0,0,94,0
188,125,0,0,0,78,0
189,124,1,0,0,102,-1
190,123,1,0,0,108,-1
191,123,0,0,0,105,0
192,123,0,0,0,116,0
193,122,1,0,0,103,-1
194,122,0,0,0,115,0
195,120,1,1,0,98,-2
196,119,1,0,0,101,-1
197,119,0,0,0,82,0
198,117,2,0,0,111,-2
199,117,1,0,1,88,0
