,kyon_nums,eaten_kyons,dead_kyons,born_kyons,eaten_grasses,increase
0,150,1,0,1,142,0
1,149,1,0,0,120,-1
2,148,0,1,0,146,-1
3,146,2,0,0,114,-2
4,145,0,1,0,95,-1
5,146,0,0,1,140,1
6,144,2,0,0,119,-2
7,144,1,0,1,136,0
8,143,0,1,0,124,-1
9,142,0,1,0,85,-1
10,142,0,0,0,132,0
11,142,0,0,0,115,0
12,140,2,0,0,90,-2
13,140,0,0,0,94,0
14,139,0,1,0,134,-1
15,138,1,0,0,103,-1
16,139,0,0,1,131,1
17,139,0,0,0,107,0
18,138,1,0,0,84,-1
19,137,1,0,0,116,-1
20,140,0,0,3,110,3
21,139,0,1,0,113,-1
22,139,0,0,0,132,0
23,139,0,0,0,110,0
24,138,0,1,0,99,-1
25,139,0,0,1,133,1
26,136,1,2,0,118,-3
27,135,0,1,0,108,-1
28,135,1,0,1,82,0
29,135,0,0,0,129,0
30,135,1,0,1,102,0
31,135,1,0,1,76,0
32,133,0,2,0,102,-2
33,133,0,0,0,128,0
34,133,0,0,0,102,0
35,133,0,0,0,128,0
36,133,0,0,0,108,0
37,133,0,0,0,86,0
38,133,0,0,0,127,0
39,133,0,0,0,111,0
40,134,0,0,1,88,1
41,134,0,0,0,116,0
42,134,0,0,0,126,0
43,134,0,0,0,109,0
44,134,0,0,0,76,0
45,133,1,1,1,128,-1
46,133,0,0,0,105,0
47,132,2,0,1,127,-1
48,132,0,0,0,107,0
49,133,0,0,1,107,1
50,133,0,0,0,107,0
51,133,0,0,0,87,0
52,132,1,0,0,127,-1
53,131,0,1,0,101,-1
54,131,0,0,0,109,0
55,131,0,1,1,83,0
56,130,0,1,0,89,-1
57,129,1,0,0,122,-1
58,129,0,0,0,103,0
59,130,0,0,1,108,1
60,128,2,0,0,90,-2
61,127,1,0,0,119,-1
62,127,0,0,0,98,0
63,128,0,0,1,76,1
64,127,1,0,0,91,-1
65,126,1,0,0,120,-1
66,125,1,0,0,109,-1
67,125,0,0,0,101,0
68,124,1,0,0,84,-1
69,124,0,0,0,118,0
70,123,0,1,0,94,-1
71,122,1,0,0,77,-1
72,123,0,0,1,81,1
