,kyon_nums,eaten_kyons,dead_kyons,born_kyons,eaten_grasses,increase
0,249,2,0,1,226,-1
1,249,1,0,1,169,0
2,250,0,0,1,192,1
3,248,2,0,0,189,-2
4,243,3,2,0,185,-5
5,244,0,0,1,178,1
6,247,0,0,3,147,3
7,249,0,0,2,236,2
8,249,0,0,0,174,0
9,248,1,0,0,133,-1
10,246,2,0,0,196,-2
11,245,2,0,1,229,-1
12,242,3,0,0,183,-3
13,242,0,0,0,230,0
14,241,1,0,0,175,-1
15,243,0,0,2,138,2
16,242,1,1,1,199,-1
17,240,3,0,1,181,-2
18,238,1,1,0,180,-2
19,238,0,0,0,173,0
20,238,0,0,0,186,0
21,238,2,0,2,184,0
22,237,1,0,0,230,-1
23,234,2,1,0,160,-3
24,231,2,1,0,223,-3
25,230,2,0,1,164,-1
26,229,2,0,1,124,-1
27,227,2,0,0,209,-2
28,226,1,0,0,161,-1
29,226,0,0,0,131,0
30,226,0,0,0,212,0
31,224,2,0,0,160,-2
32,224,1,0,1,180,0
33,223,0,1,0,124,-1
34,223,0,0,0,143,0
35,221,2,0,0,210,-2
36,219,2,0,0,153,-2
37,218,0,1,0,201,-1
38,216,1,1,0,154,-2
39,216,1,0,1,124,0
40,216,0,0,0,172,0
41,216,2,0,2,199,0
42,215,0,1,0,160,-1
43,213,2,0,0,125,-2
44,213,0,0,0,145,0
45,211,2,0,0,194,-2
46,212,0,0,1,156,1
47,209,3,0,0,195,-3
48,208,1,0,0,145,-1
49,207,2,0,1,121,-1
50,207,0,0,0,145,0
51,207,0,0,0,194,0
52,207,0,0,0,152,0
53,206,1,0,0,164,-1
54,206,0,0,0,151,0
55,206,1,0,1,130,0
56,206,0,0,0,139,0
57,205,1,0,0,158,-1
58,206,0,0,1,195,1
59,206,2,0,2,155,0
60,207,0,0,1,157,1
61,206,1,1,1,125,-1
62,206,0,0,0,196,0
63,206,0,0,0,155,0
64,203,2,1,0,108,-3
65,203,0,0,0,130,0
66,203,0,0,0,196,0
67,202,1,1,1,149,-1
68,202,1,0,1,121,0
69,202,0,0,0,189,0
70,202,0,0,0,150,0
71,201,1,0,0,115,-1
72,201,1,0,1,130,0
73,199,2,1,1,152,-2
74,199,0,0,0,186,0
75,198,1,0,0,137,-1
76,200,0,0,2,117,2
77,200,0,0,0,180,0
78,198,2,0,0,144,-2
79,198,0,0,0,127,0
80,196,1,1,0,123,-2
81,197,0,0,1,192,1
82,195,2,1,1,145,-2
83,194,0,1,0,153,-1
84,194,2,0,2,117,0
85,193,1,0,0,120,-1
86,192,2,0,1,173,-1
87,192,0,0,0,150,0
88,192,0,0,0,154,0
89,192,0,0,0,147,0
90,192,1,0,1,116,0
91,192,0,0,0,129,0
92,193,0,0,1,156,1
93,192,0,1,0,147,-1
94,191,1,0,0,177,-1
95,191,0,0,0,138,0
96,190,1,0,0,113,-1
97,190,0,0,0,179,0
98,187,3,0,0,142,-3
99,186,2,0,1,140,-1
100,183,2,1,0,120,-3
101,181,2,0,0,170,-2
102,181,0,0,0,144,0
103,180,1,0,0,151,-1
104,181,0,0,1,109,1
105,182,0,0,1,121,1
106,182,0,0,0,148,0
107,180,2,0,0,133,-2
108,180,0,0,0,142,0
109,181,0,0,1,174,1
110,182,0,0,1,143,1
111,182,1,0,1,175,0
112,181,1,0,0,135,-1
113,180,1,0,0,170,-1
114,179,1,0,0,135,-1
115,179,0,0,0,164,0
116,179,0,0,0,141,0
117,180,0,0,1,171,1
118,181,0,0,1,123,1
119,181,0,0,0,171,0
120,179,0,2,0,139,-2
121,178,1,0,0,102,-1
122,178,0,0,0,114,0
123,177,1,0,0,143,-1
124,177,0,0,0,138,0
125,178,0,0,1,168,1
126,178,0,0,0,141,0
127,176,1,1,0,104,-2
128,175,1,0,0,146,-1
129,174,1,1,1,132,-1
130,174,0,0,0,139,0
131,173,1,0,0,134,-1
132,173,0,0,0,134,0
133,173,0,0,0,164,0
134,174,0,0,1,132,1
135,174,0,0,0,159,0
136,173,1,1,1,132,-1
137,171,2,0,0,137,-2
138,171,0,0,0,132,0
139,170,1,0,0,143,-1
140,170,0,1,1,132,0
141,170,1,0,1,135,0
142,168,1,1,0,132,-2
143,166,1,1,0,100,-2
144,166,1,0,1,102,0
145,166,0,0,0,154,0
146,166,1,0,1,131,0
147,166,0,0,0,157,0
148,167,0,0,1,128,1
149,168,0,0,1,109,1
150,168,0,0,0,158,0
151,167,1,0,0,129,-1
152,166,1,0,0,102,-1
153,166,0,0,0,138,0
154,165,1,0,0,135,-1
155,166,0,0,1,153,1
156,167,0,0,1,127,1
157,166,1,1,1,155,-1
158,165,1,0,0,119,-1
159,165,0,0,0,101,0
160,163,2,0,0,105,-2
161,163,1,0,1,155,0
162,164,0,0,1,136,1
163,163,1,0,0,155,-1
164,163,0,0,0,132,0
165,162,1,0,0,109,-1
166,161,2,0,1,133,-1
167,160,0,1,0,121,-1
168,158,1,1,0,150,-2
169,159,0,0,1,125,1
170,160,0,0,1,105,1
171,159,0,1,0,132,-1
172,158,1,0,0,134,-1
173,157,1,0,0,124,-1
174,157,0,0,0,127,0
175,157,1,0,1,121,0
176,156,1,0,0,119,-1
177,156,0,0,0,120,0
178,156,0,0,0,145,0
179,155,1,0,0,121,-1
180,155,0,0,0,143,0
181,152,3,0,0,106,-3
182,152,0,0,0,110,0
183,151,1,0,0,104,-1
184,150,0,1,0,122,-1
185,149,1,0,0,145,-1
186,147,2,1,1,105,-2
187,148,1,0,2,98,1
188,148,0,0,0,143,0
189,148,0,0,0,118,0
190,148,0,0,0,143,0
191,148,1,0,1,126,0
192,147,1,0,0,116,-1
193,145,1,1,0,116,-2
194,145,0,0,0,116,0
195,146,0,0,1,98,1
196,145,0,1,0,102,-1
197,144,1,0,0,122,-1
198,144,0,0,0,136,0
199,143,1,0,0,114,-1
200,145,0,0,2,136,2
201,145,0,0,0,110,0
202,144,1,0,0,100,-1
203,144,1,0,1,103,0
204,144,0,0,0,138,0
205,144,1,0,1,116,0
206,143,0,1,0,93,-1
207,143,0,0,0,99,0
208,144,0,0,1,136,1
209,142,2,0,0,106,-2
210,142,1,0,1,82,0
211,142,0,0,0,130,0
212,142,0,0,0,113,0
213,142,0,0,0,134,0
214,141,1,0,0,109,-1
215,141,0,0,0,87,0
216,141,1,0,1,119,0
217,140,1,0,0,138,-1
218,139,1,0,0,115,-1
219,139,0,0,0,116,0
220,139,0,0,0,115,0
221,138,1,0,0,93,-1
222,138,0,0,0,130,0
223,136,2,0,0,102,-2
224,136,0,0,0,134,0
225,136,0,0,0,110,0
226,138,0,0,2,130,2
227,137,1,0,0,105,-1
228,136,0,1,0,93,-1
229,134,2,0,0,128,-2
230,134,0,0,0,108,0
231,134,0,0,0,106,0
232,134,0,0,0,111,0
233,133,0,1,0,102,-1
234,130,1,2,0,104,-3
235,132,0,0,2,85,2
236,131,1,0,0,124,-1
237,130,1,0,0,104,-1
238,131,0,0,1,101,1
239,131,0,0,0,91,0
240,130,1,0,0,121,-1
241,129,1,0,0,93,-1
242,126,3,0,0,90,-3
243,125,1,0,0,107,-1
244,125,0,0,0,119,0
245,124,1,0,0,104,-1
246,125,0,0,1,84,1
247,125,0,0,0,120,0
248,125,0,0,0,101,0
249,125,1,0,1,118,0
250,125,0,0,0,103,0
251,124,1,0,0,78,-1
252,124,0,0,0,109,0
253,124,0,0,0,96,0
254,124,0,0,0,109,0
255,125,0,0,1,108,1
256,125,0,0,0,103,0
257,125,0,0,0,121,0
258,125,0,0,0,101,0
259,127,0,0,2,99,2
260,126,1,0,0,101,-1
261,125,1,0,0,99,-1
262,125,0,0,0,77,0
263,125,0,0,0,87,0
264,125,0,0,0,104,0
265,126,0,0,1,103,1
266,126,0,0,0,102,0
267,126,0,0,0,107,0
268,125,1,0,0,117,-1
269,126,0,0,1,98,1
270,127,0,0,1,107,1
271,127,0,0,0,103,0
272,126,1,0,0,102,-1
273,125,1,0,0,109,-1
274,127,0,0,2,100,2
275,127,0,0,0,108,0
276,127,0,0,0,90,0
277,127,0,0,0,122,0
278,127,0,0,0,103,0
279,127,0,0,0,100,0
280,127,0,0,0,106,0
281,126,0,1,0,90,-1
282,124,2,0,0,117,-2
283,124,0,0,0,102,0
284,123,1,0,0,77,-1
285,123,0,0,0,103,0
286,123,0,0,0,115,0
287,123,0,0,0,95,0
288,122,1,0,0,71,-1
289,120,2,0,0,82,-2
290,118,1,1,0,115,-2
291,118,0,0,0,92,0
292,118,0,0,0,99,0
293,117,1,0,0,94,-1
294,116,1,0,0,67,-1
295,116,0,0,0,85,0
296,114,2,0,0,94,-2
297,113,1,0,0,107,-1
298,111,2,0,0,88,-2
299,110,1,0,0,94,-1
300,109,1,0,0,85,-1
301,108,1,0,0,106,-1
302,108,0,0,0,87,0
303,108,0,0,0,71,0
304,107,1,0,0,78,-1
305,106,1,0,0,104,-1
306,103,2,1,0,79,-3
307,102,1,0,0,67,-1
308,103,0,0,1,97,1
309,103,0,0,0,83,0
310,102,1,0,0,70,-1
311,102,0,0,0,83,0
312,101,0,1,0,100,-1
313,101,0,0,0,80,0
314,102,0,0,1,64,1
315,102,0,0,0,83,0
316,102,0,0,0,80,0
317,103,0,0,1,99,1
318,102,1,0,0,80,-1
319,102,0,0,0,89,0
320,102,0,0,0,80,0
321,102,0,0,0,74,0
322,102,0,0,0,69,0
323,102,0,0,0,88,0
324,103,0,0,1,77,1
325,103,1,0,1,98,0
326,103,0,0,0,83,0
327,103,0,0,0,100,0
328,103,0,0,0,87,0
329,102,1,0,0,96,-1
330,102,0,0,0,87,0
331,101,1,0,0,68,-1
332,101,0,0,0,86,0
333,100,1,0,0,96,-1
334,99,1,0,0,80,-1
335,99,0,0,0,78,0
336,100,0,0,1,66,1
337,100,0,0,0,73,0
338,98,2,0,0,80,-2
339,98,0,0,0,94,0
340,97,0,1,0,72,-1
341,98,0,0,1,65,1
342,97,1,0,0,80,-1
343,98,0,0,1,94,1
344,98,0,0,0,87,0
345,98,0,0,0,67,0
346,98,1,0,1,93,0
347,98,0,0,0,83,0
348,98,0,0,0,87,0
349,98,0,0,0,80,0
350,98,0,0,0,73,0
351,97,1,0,0,68,-1
352,96,1,0,0,93,-1
353,97,0,0,1,80,1
354,98,0,0,1,82,1
355,98,0,0,0,85,0
356,97,1,0,0,76,-1
357,97,1,0,1,92,0
358,97,0,0,0,84,0
359,97,0,0,0,92,0
360,97,0,0,0,82,0
361,96,1,0,0,90,-1
362,95,1,0,0,73,-1
363,95,1,0,1,82,0
364,95,0,0,0,74,0
365,94,1,0,0,61,-1
366,96,0,0,2,79,2
367,96,0,0,0,80,0
368,95,1,0,0,81,-1
369,93,2,0,0,89,-2
370,93,1,0,1,74,0
371,92,1,0,0,81,-1
372,91,1,0,0,69,-1
373,91,0,0,0,85,0
374,91,0,0,0,72,0
375,91,0,0,0,85,0
376,91,0,0,0,76,0
377,91,0,0,0,64,0
378,91,0,0,0,75,0
379,91,0,0,0,76,0
380,92,0,0,1,77,1
381,91,1,0,0,73,-1
382,92,0,0,1,72,1
383,93,0,0,1,76,1
384,93,0,0,0,89,0
385,93,0,0,0,80,0
386,93,0,0,0,71,0
387,93,0,0,0,88,0
388,92,1,0,0,76,-1
389,91,0,1,0,68,-1
390,92,0,0,1,62,1
391,93,0,0,1,77,1
392,93,0,0,0,67,0
393,91,1,1,0,82,-2
394,91,0,0,0,68,0
395,91,0,0,0,59,0
396,92,0,0,1,82,1
397,92,0,0,0,77,0
398,91,1,0,0,79,-1
399,91,0,0,0,78,0
400,91,0,0,0,78,0
401,91,0,0,0,88,0
402,91,0,0,0,72,0
403,90,1,0,0,76,-1
404,90,0,0,0,70,0
405,90,0,0,0,64,0
406,90,0,0,0,88,0
407,90,0,0,0,75,0
408,88,0,2,0,64,-2
409,88,0,0,0,71,0
410,89,0,0,1,86,1
411,88,1,0,0,77,-1
412,88,0,0,0,59,0
