,kyon_nums,eaten_kyons,dead_kyons,born_kyons,eaten_grasses,increase
0,249,1,0,0,231,-1
1,250,1,0,2,177,1
2,250,0,0,0,143,0
3,249,2,0,1,229,-1
4,249,0,0,0,164,0
5,250,0,0,1,146,1
6,252,0,0,2,232,2
7,252,0,0,0,161,0
8,249,3,0,0,201,-3
9,249,0,0,0,149,0
10,247,1,1,0,147,-2
11,245,1,2,1,203,-2
12,246,0,0,1,221,1
13,247,0,0,1,172,1
14,247,0,0,0,194,0
15,246,1,0,0,158,-1
16,246,0,0,0,225,0
17,246,0,0,0,176,0
18,247,0,0,1,186,1
19,249,0,0,2,143,2
20,248,0,1,0,228,-1
21,248,0,1,1,173,0
22,247,1,0,0,127,-1
23,245,1,1,0,232,-2
24,245,1,0,1,172,0
25,243,2,0,0,184,-2
26,242,0,1,0,142,-1
27,240,0,2,0,221,-2
28,240,0,0,0,178,0
29,240,0,0,0,192,0
30,239,1,1,1,141,-1
31,238,2,0,1,219,-1
32,237,1,1,1,171,-1
33,237,0,0,0,138,0
34,238,1,0,2,221,1
35,239,0,0,1,168,1
36,239,0,0,0,149,0
37,239,1,0,1,163,0
38,239,0,0,0,187,0
39,239,0,0,0,222,0
40,239,0,0,0,168,0
41,240,0,0,1,137,1
42,240,0,0,0,227,0
43,239,1,1,1,159,-1
44,241,0,0,2,134,2
45,241,0,0,0,226,0
46,239,2,0,0,161,-2
47,238,1,0,0,143,-1
48,238,0,0,0,225,0
49,238,0,1,1,175,0
50,238,0,0,0,139,0
51,239,1,0,2,226,1
52,238,0,2,1,161,-1
53,238,1,0,1,223,0
54,238,0,0,0,183,0
55,236,1,1,0,227,-2
56,233,2,1,0,171,-3
57,234,0,0,1,138,1
58,232,1,1,0,135,-2
59,231,1,0,0,220,-1
60,232,0,0,1,161,1
61,230,2,0,0,125,-2
62,228,2,0,0,142,-2
63,228,0,0,0,214,0
64,227,1,0,0,158,-1
65,226,0,1,0,121,-1
66,223,2,1,0,210,-3
67,221,0,2,0,151,-2
68,220,0,1,0,129,-1
69,220,0,1,1,179,0
70,220,0,0,0,170,0
71,219,1,0,0,209,-1
72,219,0,0,0,161,0
73,219,0,0,0,119,0
74,218,0,1,0,148,-1
75,217,2,0,1,174,-1
76,217,0,0,0,204,0
77,216,0,1,0,163,-1
78,216,0,0,0,163,0
79,216,0,1,1,166,0
80,217,1,0,2,167,1
81,218,0,0,1,125,1
82,220,0,0,2,137,2
83,220,0,1,1,179,0
84,220,0,0,0,166,0
85,220,0,0,0,197,0
86,220,0,0,0,160,0
87,221,0,0,1,204,1
88,219,2,0,0,157,-2
89,220,0,0,1,204,1
90,220,0,0,0,153,0
91,220,0,0,0,161,0
92,219,2,0,1,165,-1
93,219,0,0,0,141,0
94,219,0,0,0,147,0
95,219,0,0,0,208,0
96,219,0,0,0,158,0
97,220,0,0,1,127,1
98,220,0,0,0,140,0
99,219,1,0,0,203,-1
100,219,0,0,0,156,0
101,219,1,0,1,125,0
102,219,0,0,0,203,0
103,219,0,0,0,159,0
104,220,0,0,1,123,1
105,220,0,0,0,212,0
106,220,0,0,0,163,0
107,221,0,0,1,119,1
108,221,0,1,1,206,0
109,219,0,2,0,167,-2
110,220,0,0,1,197,1
111,220,0,0,0,169,0
112,220,0,0,0,172,0
113,220,0,0,0,162,0
114,222,0,0,2,162,2
115,224,0,0,2,127,2
116,224,1,0,1,144,0
117,223,0,2,1,173,-1
118,222,2,0,1,207,-1
119,222,0,0,0,167,0
120,223,0,0,1,208,1
121,221,2,0,0,165,-2
122,219,0,2,0,210,-2
123,221,0,0,2,158,2
124,222,0,0,1,133,1
125,222,0,0,0,211,0
126,223,0,0,1,158,1
127,223,1,0,1,112,0
128,225,0,0,2,162,2
129,225,0,0,0,202,0
130,225,1,0,1,151,0
131,223,1,1,0,207,-2
132,223,0,0,0,162,0
133,223,0,0,0,162,0
