,kyon_nums,eaten_kyons,dead_kyons,born_kyons,eaten_grasses,increase
0,152,0,0,2,65,2
1,153,0,0,1,145,1
2,152,1,0,0,116,-1
3,151,1,0,0,91,-1
4,151,0,0,0,143,0
5,151,0,0,0,112,0
6,151,0,0,0,88,0
7,150,1,0,0,142,-1
8,151,0,1,2,112,1
9,152,0,0,1,102,1
10,152,0,0,0,147,0
11,150,0,2,0,120,-2
12,149,1,1,1,139,-1
13,149,0,0,0,115,0
14,148,1,0,0,141,-1
15,149,0,0,1,119,1
16,150,0,0,1,85,1
17,150,1,0,1,145,0
18,150,0,0,0,115,0
19,149,1,0,0,141,-1
20,149,0,0,0,110,0
21,149,0,0,0,141,0
22,149,0,0,0,112,0
23,148,0,1,0,103,-1
24,148,0,0,0,125,0
25,149,0,0,1,119,1
26,149,1,0,1,140,0
27,149,0,0,0,123,0
28,149,0,0,0,144,0
29,149,0,0,0,113,0
30,150,0,0,1,121,1
31,150,0,0,0,98,0
32,151,0,0,1,109,1
33,152,0,0,1,123,1
34,151,1,0,0,149,-1
35,151,0,0,0,114,0
36,152,0,0,1,92,1
37,154,0,0,2,132,2
38,154,0,0,0,125,0
39,154,0,0,0,148,0
40,155,0,0,1,117,1
41,152,2,1,0,103,-3
42,152,1,0,1,127,0
43,152,0,0,0,119,0
44,153,0,0,1,128,1
45,152,0,1,0,121,-1
46,151,0,1,0,145,-1
47,151,0,0,0,121,0
48,150,1,1,1,96,-1
49,149,1,0,0,138,-1
50,150,0,0,1,127,1
51,150,0,0,0,94,0
52,150,0,0,0,142,0
53,150,0,0,0,118,0
54,149,0,1,0,97,-1
55,149,0,0,0,103,0
56,148,1,0,0,114,-1
57,148,0,0,0,139,0
58,147,1,0,0,120,-1
59,146,0,1,0,117,-1
60,146,1,0,1,107,0
61,146,0,0,0,96,0
62,146,0,0,0,141,0
63,144,2,0,0,113,-2
64,143,1,0,0,93,-1
65,144,0,0,1,138,1
66,144,0,0,0,116,0
67,144,0,0,0,116,0
68,145,0,0,1,91,1
69,145,0,0,0,140,0
70,145,0,0,0,111,0
71,145,0,0,0,116,0
72,144,1,0,0,93,-1
73,144,0,0,0,139,0
74,144,0,0,0,98,0
75,144,0,0,0,90,0
76,144,0,0,0,138,0
77,143,0,1,0,108,-1
78,143,0,0,0,88,0
79,143,0,0,0,139,0
80,143,0,0,0,115,0
81,143,0,0,0,133,0
82,142,0,1,0,114,-1
83,142,0,1,1,94,0
84,142,1,1,2,136,0
85,142,0,0,0,112,0
86,139,2,1,0,94,-3
87,139,0,0,0,101,0
88,139,0,0,0,114,0
89,141,0,0,2,134,2
90,141,0,0,0,108,0
91,141,0,0,0,114,0
92,141,0,0,0,97,0
93,142,0,0,1,103,1
94,143,0,0,1,137,1
95,143,0,1,1,110,0
96,142,0,1,0,128,-1
97,141,1,0,0,99,-1
98,141,0,0,0,97,0
99,141,0,0,0,136,0
100,142,0,0,1,112,1
101,142,0,0,0,118,0
102,142,0,0,0,116,0
103,142,0,0,0,92,0
104,141,1,0,0,135,-1
105,142,0,1,2,108,1
106,142,0,0,0,133,0
107,142,0,0,0,117,0
108,142,0,0,0,121,0
109,142,0,0,0,100,0
110,142,0,0,0,137,0
111,144,0,0,2,113,2
112,144,0,0,0,140,0
113,141,1,2,0,116,-3
114,141,0,0,0,86,0
115,140,1,0,0,135,-1
116,140,0,0,0,105,0
117,140,0,0,0,84,0
118,140,0,0,0,130,0
119,140,0,0,0,111,0
120,140,0,0,0,94,0
121,140,0,0,0,99,0
122,140,0,0,0,139,0
