,kyon_nums,eaten_kyons,dead_kyons,born_kyons,eaten_grasses,increase
0,10,0,0,0,3,0
1,10,0,0,0,10,0
2,10,0,0,0,10,0
3,10,0,0,0,10,0
4,10,0,0,0,10,0
5,10,0,0,0,4,0
6,10,0,0,0,8,0
7,10,0,0,0,8,0
8,9,0,1,0,9,-1
9,9,0,0,0,8,0
10,9,0,0,0,4,0
11,9,0,0,0,7,0
12,9,0,0,0,9,0
13,9,0,0,0,7,0
14,9,0,0,0,9,0
15,9,0,0,0,8,0
16,9,0,0,0,9,0
17,9,0,0,0,7,0
18,9,0,0,0,5,0
19,9,0,0,0,9,0
20,9,0,0,0,8,0
21,9,0,0,0,9,0
22,9,0,0,0,7,0
23,9,0,0,0,9,0
24,9,0,0,0,9,0
25,9,0,0,0,6,0
26,9,0,0,0,9,0
27,9,0,0,0,9,0
28,9,0,0,0,9,0
29,9,0,0,0,9,0
30,9,0,0,0,5,0
31,9,0,0,0,9,0
32,9,0,0,0,9,0
33,9,0,0,0,9,0
34,9,0,0,0,7,0
35,9,0,0,0,8,0
36,9,0,0,0,9,0
37,9,0,0,0,9,0
38,9,0,0,0,7,0
39,9,0,0,0,9,0
40,9,0,0,0,9,0
41,9,0,0,0,6,0
42,9,0,0,0,7,0
43,9,0,0,0,8,0
44,9,0,0,0,7,0
45,9,0,0,0,9,0
46,9,0,0,0,8,0
47,9,0,0,0,5,0
48,9,0,0,0,9,0
49,9,0,0,0,8,0
50,9,0,0,0,9,0
51,9,0,0,0,8,0
52,9,0,0,0,9,0
53,9,0,0,0,7,0
54,9,0,0,0,8,0
55,9,0,0,0,8,0
56,9,0,0,0,9,0
57,9,0,0,0,8,0
58,9,0,0,0,6,0
59,9,0,0,0,9,0
60,9,0,0,0,7,0
61,9,0,0,0,5,0
62,9,0,0,0,9,0
63,9,0,0,0,9,0
64,9,0,0,0,9,0
65,9,0,0,0,9,0
66,9,0,0,0,9,0
67,9,0,0,0,6,0
68,9,0,0,0,8,0
69,9,0,0,0,9,0
70,9,0,0,0,8,0
71,9,0,0,0,9,0
72,9,0,0,0,6,0
73,9,0,0,0,9,0
74,9,0,0,0,9,0
75,10,0,0,1,8,1
76,10,0,0,0,9,0
77,10,0,0,0,7,0
78,10,0,0,0,8,0
79,10,0,0,0,9,0
80,10,0,0,0,8,0
81,10,0,0,0,10,0
82,10,0,0,0,10,0
83,10,0,0,0,6,0
84,10,0,0,0,8,0
85,10,0,0,0,10,0
86,10,0,0,0,10,0
87,10,0,0,0,7,0
88,10,0,0,0,10,0
89,10,0,0,0,9,0
90,10,0,0,0,10,0
91,10,0,0,0,9,0
92,10,0,0,0,8,0
93,10,0,0,0,10,0
94,10,0,0,0,9,0
95,10,0,0,0,8,0
96,10,0,0,0,10,0
97,10,0,0,0,8,0
98,10,0,0,0,7,0
99,10,0,0,0,10,0
100,10,0,0,0,7,0
101,10,0,0,0,7,0
102,10,0,0,0,9,0
103,10,0,0,0,10,0
104,10,0,0,0,8,0
105,10,0,0,0,9,0
106,10,0,0,0,10,0
107,10,0,0,0,10,0
108,10,0,0,0,8,0
109,10,0,0,0,7,0
110,10,0,0,0,10,0
111,10,0,0,0,9,0
112,10,0,0,0,10,0
113,10,0,0,0,10,0
114,10,0,0,0,8,0
115,11,0,0,1,9,1
116,11,0,0,0,8,0
117,11,0,0,0,7,0
118,11,0,0,0,11,0
119,11,0,0,0,7,0
120,11,0,0,0,8,0
121,11,0,0,0,11,0
122,11,0,0,0,9,0
123,11,0,0,0,11,0
124,11,0,0,0,11,0
125,11,0,0,0,11,0
126,12,0,0,1,9,1
127,12,0,0,0,12,0
128,12,0,0,0,11,0
129,12,0,0,0,9,0
130,12,0,0,0,11,0
131,12,0,0,0,11,0
132,12,0,0,0,12,0
133,12,0,0,0,11,0
134,12,0,0,0,12,0
135,12,0,0,0,10,0
136,12,0,0,0,12,0
