,kyon_nums,eaten_kyons,dead_kyons,born_kyons,eaten_grasses,increase
0,251,0,0,1,233,1
1,252,0,0,1,177,1
2,249,1,2,0,133,-3
3,249,0,2,2,225,0
4,250,0,0,1,172,1
5,250,1,0,1,143,0
6,251,0,0,1,234,1
7,251,0,0,0,185,0
8,253,1,0,3,135,2
9,253,0,1,1,232,0
10,252,1,0,0,167,-1
11,251,0,1,0,237,-1
12,252,0,0,1,166,1
13,253,0,0,1,143,1
14,253,1,1,2,228,0
15,253,0,0,0,191,0
16,252,0,1,0,142,-1
17,253,0,0,1,233,1
18,252,1,0,0,176,-1
19,251,0,1,0,187,-1
20,251,0,1,1,143,0
21,249,0,2,0,160,-2
22,249,0,0,0,184,0
23,247,1,1,0,226,-2
24,247,0,0,0,168,0
25,246,1,1,1,142,-1
26,248,0,0,2,226,2
27,248,0,0,0,184,0
28,247,1,0,0,228,-1
29,246,1,0,0,177,-1
30,244,1,1,0,227,-2
31,243,1,0,0,174,-1
32,243,0,0,0,226,0
33,244,0,0,1,179,1
34,244,0,0,0,226,0
35,244,1,0,1,173,0
36,244,0,0,0,141,0
37,242,1,1,0,225,-2
38,242,0,0,0,169,0
39,242,0,0,0,135,0
40,242,0,0,0,143,0
41,243,0,0,1,231,1
42,242,2,0,1,180,-1
43,241,0,1,0,181,-1
44,241,0,0,0,176,0
45,241,0,0,0,152,0
46,242,0,0,1,225,1
47,240,0,2,0,165,-2
48,239,0,1,0,229,-1
49,236,2,1,0,166,-3
50,236,0,0,0,137,0
51,235,0,1,0,220,-1
52,235,1,0,1,153,0
53,235,0,0,0,128,0
54,234,1,0,0,218,-1
55,232,1,1,0,168,-2
56,232,0,0,0,118,0
57,233,0,0,1,217,1
58,233,0,1,1,168,0
59,233,0,0,0,183,0
60,232,0,2,1,138,-1
61,231,0,1,0,148,-1
62,229,1,1,0,219,-2
63,228,1,0,0,163,-1
64,228,0,0,0,132,0
65,228,0,0,0,210,0
66,228,0,0,0,163,0
67,228,0,0,0,134,0
68,229,0,0,1,195,1
69,227,3,0,1,211,-2
70,227,0,0,0,161,0
71,227,0,0,0,181,0
72,226,0,1,0,173,-1
73,226,0,0,0,184,0
74,225,1,0,0,138,-1
75,225,0,0,0,145,0
76,225,0,0,0,207,0
77,226,0,0,1,162,1
78,226,0,0,0,124,0
79,227,0,0,1,213,1
80,227,1,0,1,157,0
81,227,1,1,2,182,0
82,226,2,0,1,129,-1
83,227,0,0,1,211,1
84,227,0,0,0,155,0
85,227,0,0,0,214,0
86,227,0,0,0,160,0
87,225,0,2,0,134,-2
88,224,1,0,0,183,-1
89,224,0,0,0,160,0
90,224,0,0,0,174,0
91,224,0,0,0,170,0
92,224,0,0,0,200,0
93,225,0,0,1,152,1
94,224,1,0,0,211,-1
95,224,0,0,0,154,0
96,224,0,0,0,211,0
97,223,0,2,1,164,-1
98,222,1,0,0,171,-1
99,223,0,0,1,170,1
100,222,0,1,0,154,-1
101,220,0,2,0,206,-2
102,220,0,0,0,164,0
103,220,1,0,1,130,0
104,220,0,0,0,209,0
105,220,0,0,0,155,0
106,219,1,0,0,113,-1
107,219,0,0,0,202,0
108,220,1,0,2,158,1
109,219,0,1,0,116,-1
110,219,1,0,1,139,0
111,220,0,0,1,203,1
112,220,0,0,0,159,0
113,219,1,0,0,128,-1
114,219,0,0,0,195,0
115,219,0,0,0,163,0
116,220,0,0,1,169,1
117,220,0,0,0,134,0
118,220,0,0,0,155,0
119,221,0,0,1,208,1
120,221,0,0,0,163,0
121,221,0,0,0,174,0
122,220,1,0,0,166,-1
123,222,0,0,2,143,2
124,222,0,0,0,148,0
125,223,0,0,1,212,1
126,224,0,0,1,163,1
127,224,0,0,0,136,0
128,224,0,0,0,210,0
129,224,0,0,0,155,0
130,224,0,0,0,207,0
131,225,0,0,1,167,1
132,225,0,0,0,136,0
133,225,0,0,0,213,0
134,225,0,1,1,169,0
135,224,1,0,0,125,-1
136,224,0,0,0,211,0
137,223,2,0,1,172,-1
138,223,1,0,1,182,0
139,223,0,0,0,168,0
140,223,0,0,0,142,0
141,223,0,0,0,204,0
142,222,1,0,0,149,-1
143,222,0,0,0,202,0
144,221,1,0,0,164,-1
145,220,0,1,0,200,-1
146,218,2,1,1,167,-2
147,217,1,1,1,135,-1
148,216,0,1,0,198,-1
149,214,1,1,0,162,-2
150,215,0,0,1,202,1
151,216,0,0,1,161,1
152,217,0,0,1,172,1
153,216,1,0,0,136,-1
154,213,3,0,0,132,-3
155,212,1,0,0,162,-1
156,213,0,0,1,194,1
157,213,1,0,1,142,0
158,214,0,0,1,199,1
159,214,0,0,0,163,0
160,214,0,0,0,205,0
161,215,1,0,2,150,1
162,214,1,0,0,199,-1
163,214,0,0,0,155,0
164,216,0,0,2,172,2
165,216,0,0,0,140,0
166,216,1,0,1,129,0
167,216,0,0,0,198,0
168,218,0,0,2,168,2
169,219,0,0,1,128,1
170,219,0,0,0,200,0
171,218,1,0,0,157,-1
172,217,1,0,0,202,-1
173,217,0,1,1,154,0
174,217,0,0,0,205,0
175,217,0,0,0,155,0
176,218,0,0,1,174,1
177,215,2,1,0,136,-3
178,215,0,0,0,202,0
179,217,0,0,2,160,2
180,219,1,0,3,172,2
181,220,0,0,1,146,1
182,220,1,0,1,128,0
183,220,0,0,0,180,0
184,220,0,0,0,171,0
185,220,0,0,0,210,0
186,220,0,0,0,169,0
187,220,0,0,0,140,0
188,219,1,0,0,205,-1
189,220,0,0,1,155,1
190,220,1,0,1,208,0
191,220,0,0,0,172,0
192,220,0,0,0,208,0
193,220,0,0,0,160,0
194,220,0,0,0,121,0
195,220,0,0,0,181,0
196,221,0,0,1,164,1
197,220,1,0,0,177,-1
198,219,1,0,0,206,-1
199,217,1,1,0,151,-2
200,218,0,0,1,204,1
201,217,1,0,0,149,-1
202,217,0,0,0,124,0
203,216,1,0,0,208,-1
204,215,1,0,0,157,-1
205,214,1,0,0,197,-1
206,214,1,0,1,162,0
207,214,0,0,0,204,0
208,215,1,0,2,155,1
209,215,0,0,0,166,0
210,215,0,0,0,129,0
211,214,1,0,0,192,-1
212,215,0,0,1,149,1
213,215,0,0,0,201,0
214,216,0,0,1,161,1
215,217,0,1,2,194,1
216,217,0,0,0,162,0
217,216,1,0,0,206,-1
218,215,1,0,0,149,-1
219,215,0,0,0,126,0
220,215,0,0,0,174,0
221,214,0,1,0,172,-1
222,215,0,0,1,168,1
223,214,1,0,0,203,-1
224,213,1,0,0,156,-1
225,212,1,1,1,128,-1
226,212,0,0,0,198,0
227,211,1,0,0,151,-1
228,213,0,0,2,120,2
229,215,0,0,2,200,2
230,215,0,0,0,166,0
231,212,1,2,0,197,-3
232,212,0,0,0,150,0
233,211,1,0,0,124,-1
234,209,1,1,0,199,-2
235,210,0,0,1,156,1
236,211,0,0,1,198,1
237,211,0,0,0,153,0
238,212,0,0,1,129,1
239,212,0,0,0,200,0
240,211,0,1,0,143,-1
241,211,0,1,1,123,0
242,211,0,0,0,136,0
243,210,1,0,0,156,-1
244,211,0,0,1,183,1
245,211,0,0,0,151,0
246,210,1,0,0,163,-1
247,210,0,0,0,194,0
248,210,0,0,0,159,0
249,209,1,0,0,165,-1
250,210,1,0,2,135,1
251,209,1,0,0,196,-1
252,210,0,0,1,155,1
253,209,0,1,0,123,-1
254,209,0,0,0,143,0
255,209,0,0,0,175,0
256,209,0,0,0,163,0
257,210,0,0,1,164,1
258,211,1,0,2,165,1
259,211,0,0,0,172,0
260,211,0,0,0,160,0
261,211,0,0,0,158,0
262,210,0,1,0,158,-1
263,209,1,0,0,202,-1
264,209,0,0,0,158,0
265,209,0,0,0,199,0
266,207,1,1,0,149,-2
267,207,0,0,0,193,0
268,207,0,0,0,157,0
269,207,0,0,0,169,0
270,207,0,0,0,120,0
271,207,0,1,1,187,0
272,207,0,0,0,149,0
273,207,0,0,0,118,0
274,207,0,0,0,158,0
275,207,0,0,0,159,0
276,206,0,1,0,194,-1
