,kyon_nums,eaten_kyons,dead_kyons,born_kyons,eaten_grasses,increase
0,150,0,0,0,144,0
1,150,0,0,0,115,0
2,150,0,0,0,142,0
3,150,0,0,0,115,0
4,150,0,0,0,140,0
5,150,0,0,0,115,0
6,151,0,0,1,97,1
7,150,1,1,1,144,-1
8,149,1,0,0,117,-1
9,148,1,0,0,127,-1
10,148,0,0,0,117,0
11,148,0,0,0,121,0
12,148,0,0,0,97,0
13,148,0,0,0,106,0
14,148,0,0,0,128,0
15,146,1,1,0,138,-2
16,147,0,0,1,116,1
17,147,0,0,0,137,0
18,146,1,0,0,115,-1
19,145,1,0,0,135,-1
20,145,0,0,0,111,0
21,145,0,0,0,92,0
22,144,1,0,0,128,-1
23,145,0,0,1,138,1
24,144,0,1,0,109,-1
25,144,0,0,0,98,0
26,146,0,0,2,136,2
27,146,0,0,0,123,0
28,146,0,0,0,94,0
29,146,0,0,0,110,0
30,144,2,0,0,124,-2
31,144,0,0,0,138,0
32,145,0,0,1,113,1
33,143,2,0,0,82,-2
34,143,0,0,0,123,0
35,141,2,0,0,112,-2
36,140,0,1,0,134,-1
37,140,0,0,0,107,0
38,141,0,0,1,85,1
39,141,0,0,0,90,0
40,141,0,0,0,138,0
41,140,0,1,0,108,-1
42,140,0,0,0,97,0
43,141,0,0,1,134,1
44,139,1,1,0,107,-2
45,138,1,0,0,97,-1
46,136,2,0,0,115,-2
47,135,1,0,0,111,-1
48,135,0,0,0,128,0
49,135,0,0,0,104,0
50,133,2,0,0,109,-2
51,133,0,0,0,83,0
52,133,0,0,0,127,0
53,133,0,0,0,105,0
54,133,0,0,0,125,0
55,132,1,0,0,96,-1
56,132,0,0,0,129,0
57,131,1,0,0,106,-1
58,129,1,1,0,90,-2
59,129,0,0,0,122,0
60,129,0,0,0,105,0
61,129,0,0,0,107,0
62,128,0,1,0,103,-1
63,129,0,1,2,85,1
64,131,0,0,2,99,2
65,132,1,0,2,102,1
66,132,1,0,1,105,0
67,132,0,0,0,129,0
68,133,0,0,1,109,1
69,132,0,1,0,82,-1
70,130,2,0,0,108,-2
71,130,0,0,0,99,0
72,130,0,1,1,125,0
73,131,0,0,1,102,1
74,131,0,0,0,98,0
75,131,0,0,0,108,0
76,131,0,0,0,126,0
77,131,0,0,0,105,0
78,132,0,0,1,126,1
79,132,0,0,0,109,0
80,131,1,0,0,81,-1
81,130,0,1,0,93,-1
82,130,0,0,0,125,0
83,130,0,0,0,104,0
84,129,0,1,0,113,-1
85,129,0,0,0,88,0
86,128,1,0,0,86,-1
87,126,2,0,0,96,-2
88,125,1,0,0,111,-1
89,124,0,1,0,98,-1
90,124,0,0,0,108,0
91,124,0,0,0,123,0
92,123,1,0,0,96,-1
93,123,0,0,0,88,0
94,123,1,0,1,115,0
95,122,0,1,0,107,-1
96,122,0,0,0,117,0
97,121,1,0,0,102,-1
98,122,0,0,1,81,1
99,122,0,0,0,119,0
100,121,1,0,0,100,-1
101,120,1,0,0,86,-1
102,118,2,0,0,100,-2
103,119,0,0,1,97,1
104,119,0,0,0,116,0
105,119,1,0,1,93,0
106,119,0,0,0,94,0
107,119,0,1,1,93,0
108,119,0,0,0,103,0
109,119,0,0,0,98,0
110,119,0,0,0,82,0
111,119,1,1,2,84,0
112,118,1,0,0,100,-1
113,118,0,0,0,117,0
114,118,0,0,0,97,0
115,116,2,0,0,88,-2
116,115,1,0,0,97,-1
117,114,0,1,0,108,-1
118,113,0,1,0,85,-1
119,113,0,0,0,87,0
120,113,0,0,0,93,0
121,113,0,0,0,109,0
122,112,1,0,0,93,-1
123,112,0,0,0,91,0
124,112,0,0,0,96,0
125,112,0,0,0,81,0
126,112,0,0,0,82,0
127,112,1,0,1,107,0
128,112,0,0,0,96,0
129,112,0,0,0,76,0
130,112,0,0,0,108,0
131,111,1,0,0,94,-1
132,111,0,0,0,92,0
133,111,0,0,0,95,0
134,111,0,0,0,82,0
135,111,0,0,0,82,0
136,111,0,0,0,90,0
137,110,1,0,0,90,-1
138,110,0,0,0,94,0
139,110,0,0,0,90,0
140,110,0,0,0,104,0
141,110,0,0,0,90,0
142,110,0,0,0,94,0
143,110,0,0,0,73,0
