,kyon_nums,eaten_kyons,dead_kyons,born_kyons,eaten_grasses,increase
0,250,0,0,0,131,0
1,250,0,0,0,209,0
2,249,1,1,1,190,-1
3,251,0,0,2,191,2
4,252,0,0,1,232,1
5,251,1,0,0,182,-1
6,250,0,1,0,133,-1
7,249,1,0,0,160,-1
8,251,0,1,3,190,2
9,251,0,0,0,188,0
10,253,0,0,2,233,2
11,251,1,1,0,166,-2
12,251,0,0,0,124,0
13,253,0,0,2,172,2
14,252,0,1,0,234,-1
15,252,0,0,0,173,0
16,252,0,0,0,126,0
17,253,0,0,1,213,1
18,253,0,0,0,182,0
19,254,0,1,2,197,1
20,255,0,0,1,192,1
21,256,1,0,2,237,1
22,256,0,0,0,182,0
23,256,0,0,0,198,0
24,257,0,0,1,163,1
25,256,1,0,0,153,-1
26,255,0,1,0,238,-1
27,254,0,1,0,176,-1
28,253,1,1,1,204,-1
29,254,0,0,1,190,1
30,254,0,0,0,189,0
31,255,0,0,1,191,1
32,257,1,0,3,206,2
33,257,0,0,0,192,0
34,256,0,1,0,146,-1
35,256,0,1,1,159,0
36,256,0,1,1,207,0
37,256,0,0,0,238,0
38,255,1,0,0,175,-1
39,252,2,1,0,137,-3
40,251,1,0,0,209,-1
41,252,0,0,1,190,1
42,252,0,0,0,225,0
43,253,0,0,1,181,1
44,255,0,0,2,139,2
45,255,0,1,1,234,0
46,257,0,0,2,178,2
47,256,0,1,0,197,-1
48,255,1,0,0,189,-1
49,256,0,0,1,200,1
50,254,1,1,0,180,-2
51,254,0,1,1,149,0
52,254,0,0,0,158,0
53,255,0,0,1,235,1
54,254,0,1,0,181,-1
55,254,0,0,0,233,0
56,255,0,0,1,186,1
57,255,0,1,1,133,0
58,256,0,0,1,237,1
59,257,0,0,1,178,1
60,257,0,0,0,132,0
61,258,0,0,1,242,1
62,258,0,0,0,179,0
63,258,0,0,0,134,0
64,260,0,0,2,238,2
65,259,0,1,0,182,-1
66,260,0,0,1,236,1
67,260,1,1,2,199,0
68,260,1,0,1,140,0
69,261,0,0,1,244,1
70,261,1,0,1,183,0
71,261,0,0,0,239,0
72,262,0,0,1,180,1
73,262,1,0,1,242,0
74,263,0,0,1,194,1
75,263,0,0,0,138,0
76,262,0,1,0,181,-1
77,261,1,0,0,243,-1
78,259,0,2,0,178,-2
79,258,1,0,0,148,-1
80,259,0,0,1,155,1
81,260,0,0,1,199,1
82,260,0,1,1,208,0
83,260,0,0,0,189,0
84,260,0,0,0,189,0
85,258,0,2,0,237,-2
86,257,1,0,0,188,-1
87,257,0,0,0,244,0
88,257,0,0,0,194,0
89,257,0,0,0,237,0
90,257,0,0,0,194,0
91,258,0,0,1,189,1
92,258,0,0,0,141,0
93,258,0,0,0,151,0
94,258,1,0,1,238,0
95,258,0,0,0,177,0
96,259,1,0,2,139,1
97,259,0,0,0,238,0
98,259,0,0,0,183,0
99,259,0,0,0,114,0
100,259,0,0,0,234,0
101,260,0,0,1,175,1
102,258,1,1,0,239,-2
103,258,0,0,0,193,0
104,256,0,2,0,231,-2
105,257,0,0,1,189,1
106,258,0,0,1,147,1
107,260,0,0,2,173,2
108,260,0,0,0,197,0
109,260,0,1,1,196,0
110,261,0,0,1,197,1
111,262,0,0,1,195,1
112,262,0,1,1,242,0
113,262,0,0,0,173,0
114,262,0,1,1,141,0
115,263,0,0,1,210,1
116,264,0,0,1,248,1
117,263,0,1,0,188,-1
118,263,0,0,0,144,0
119,264,0,0,1,207,1
120,264,0,0,0,201,0
121,263,0,1,0,195,-1
122,262,1,0,0,240,-1
123,262,0,0,0,182,0
124,262,0,0,0,208,0
125,262,0,0,0,147,0
126,263,0,0,1,244,1
127,263,1,0,1,190,0
128,263,0,0,0,202,0
129,263,0,0,0,200,0
130,263,0,0,0,203,0
131,263,0,2,2,162,0
132,263,0,0,0,246,0
133,262,1,0,0,187,-1
134,262,0,0,0,248,0
135,262,0,0,0,185,0
136,262,0,0,0,204,0
137,261,1,0,0,205,-1
138,263,0,0,2,201,2
139,262,0,1,0,137,-1
140,262,0,0,0,236,0
141,263,0,0,1,189,1
142,262,1,0,0,242,-1
143,261,0,1,0,187,-1
144,261,0,0,0,150,0
145,260,1,0,0,215,-1
146,260,0,0,0,240,0
147,260,0,0,0,192,0
148,260,0,0,0,155,0
149,260,1,0,1,202,0
150,257,1,2,0,195,-3
151,257,0,0,0,238,0
152,257,1,0,1,181,0
153,257,0,0,0,148,0
154,257,0,0,0,225,0
155,257,0,0,0,193,0
156,257,0,0,0,140,0
157,257,0,0,0,201,0
158,258,0,0,1,231,1
159,258,0,0,0,186,0
160,258,0,0,0,197,0
161,258,0,0,0,200,0
162,257,0,1,0,152,-1
163,259,0,0,2,244,2
164,259,0,0,0,190,0
165,260,0,0,1,231,1
166,260,0,0,0,181,0
167,260,1,0,1,142,0
168,260,1,0,1,241,0
169,260,0,0,0,186,0
170,261,0,0,1,198,1
171,261,0,0,0,189,0
172,260,0,2,1,202,-1
173,260,0,0,0,182,0
174,260,0,0,0,142,0
175,259,0,1,0,170,-1
176,259,0,0,0,237,0
177,260,0,0,1,188,1
178,258,2,0,0,200,-2
179,257,0,1,0,189,-1
180,257,0,1,1,193,0
181,258,0,0,1,141,1
182,256,2,0,0,237,-2
183,255,0,1,0,179,-1
184,256,1,1,3,231,1
185,256,0,0,0,176,0
186,259,0,0,3,129,3
187,261,0,0,2,204,2
188,262,1,1,3,236,1
189,262,0,0,0,186,0
190,261,0,1,0,137,-1
191,261,0,0,0,219,0
192,261,1,0,1,239,0
193,261,0,0,0,166,0
194,261,0,0,0,236,0
195,261,0,0,0,199,0
196,262,0,0,1,193,1
197,262,0,0,0,155,0
198,263,1,0,2,246,1
199,263,1,0,1,175,0
200,262,1,0,0,235,-1
201,263,1,0,2,181,1
202,263,0,0,0,147,0
203,264,0,0,1,207,1
204,265,0,0,1,242,1
205,265,0,0,0,190,0
206,264,0,1,0,142,-1
207,263,1,0,0,201,-1
208,263,0,0,0,234,0
209,261,2,0,0,180,-2
210,261,0,0,0,240,0
211,259,1,1,0,182,-2
212,259,0,0,0,139,0
213,259,0,0,0,241,0
214,257,1,1,0,193,-2
215,257,0,0,0,141,0
216,257,0,0,0,156,0
217,256,0,1,0,241,-1
218,254,1,1,0,164,-2
219,253,0,1,0,234,-1
