,kyon_nums,eaten_kyons,dead_kyons,born_kyons,eaten_grasses,increase
0,83,0,0,0,39,0
1,82,0,1,0,76,-1
2,82,0,0,0,75,0
3,81,0,1,0,78,-1
4,81,0,0,0,67,0
5,80,0,1,0,66,-1
6,81,0,0,1,68,1
7,81,0,0,0,63,0
8,80,1,0,0,66,-1
9,79,1,0,0,69,-1
10,79,1,0,1,69,0
11,78,1,0,0,62,-1
12,79,0,0,1,71,1
13,80,0,0,1,67,1
14,80,0,0,0,56,0
15,80,0,0,0,55,0
16,78,1,1,0,74,-2
17,78,0,0,0,70,0
18,78,0,0,0,61,0
19,78,0,0,0,62,0
20,76,1,1,0,59,-2
21,76,0,0,0,75,0
22,76,1,0,1,61,0
23,76,0,0,0,53,0
24,76,1,0,1,65,0
25,75,1,0,0,73,-1
26,75,1,0,1,57,0
27,73,1,1,0,45,-2
28,73,0,0,0,69,0
29,71,2,0,0,59,-2
30,70,1,0,0,46,-1
31,70,0,0,0,62,0
32,70,0,0,0,63,0
33,70,0,0,0,67,0
34,70,0,0,0,58,0
35,70,0,0,0,59,0
36,68,1,1,0,67,-2
37,66,2,0,0,62,-2
38,66,0,0,0,47,0
39,66,0,0,0,44,0
40,66,0,0,0,64,0
41,66,0,0,0,60,0
42,66,0,0,0,66,0
43,65,1,0,0,55,-1
44,65,0,0,0,44,0
45,65,0,0,0,63,0
46,65,0,0,0,56,0
47,65,1,0,1,44,0
48,65,0,0,0,56,0
49,65,0,0,0,64,0
50,65,0,0,0,54,0
51,64,1,0,0,40,-1
52,63,1,0,0,62,-1
53,63,0,0,0,47,0
54,62,1,0,0,46,-1
55,62,0,0,0,53,0
56,62,0,0,0,51,0
57,62,0,0,0,56,0
58,62,0,0,0,60,0
59,62,0,0,0,52,0
60,62,0,0,0,45,0
61,62,0,0,0,62,0
62,62,0,0,0,52,0
63,63,0,0,1,43,1
64,63,0,0,0,50,0
65,63,0,0,0,58,0
66,61,0,2,0,60,-2
67,60,1,0,0,54,-1
68,60,0,0,0,53,0
69,59,1,0,0,41,-1
70,59,0,0,0,59,0
71,60,0,0,1,53,1
72,60,0,0,0,40,0
73,60,0,0,0,60,0
74,60,0,0,0,55,0
75,60,0,0,0,52,0
76,60,0,0,0,42,0
77,60,0,0,0,59,0
78,60,0,0,0,50,0
79,60,0,0,0,54,0
80,59,1,0,0,50,-1
